id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,manual_label_normalized,vader_label,vader_compound,vader_pos_conf,vader_neu_conf,vader_neg_conf
2,So My shipment got tossed into a swamp Oh well tbh,so my shipment got tossed into a swamp oh well,0,negative,Sarcasm,negative,Sports & Outdoors,11,10,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0
3,Wow The delivery got tossed into a puddle Oh well,the delivery got tossed into a puddle oh well,0,negative,Sarcasm,negative,Electronics,10,9,medium,4,1,0,en,negative,positive,0.2732,0.231,0.769,0.0
4,the  guy went to an accordion make of that what you will lol,the guy went to an accordion make of that what you will,0,negative,Frustration,negative,Electronics,13,12,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
5,right so the guy spent a week in another state oh well wow,right so the guy spent a week in another state oh well,0,negative,Frustration,negative,Home & Kitchen,13,12,medium,0,1,0,en,negative,positive,0.2732,0.174,0.826,0.0
7,first off the package arrived looking like the neighbors trash cheers,first off the package arrived looking like the neighbors trash,0,negative,Sarcasm,negative,Clothing,11,10,medium,0,1,0,en,negative,positive,0.3612,0.217,0.783,0.0
8,listen  the delivery looked like it visited a swamp just putting it out there smh,listen the delivery looked like it visited a swamp just putting it out there,0,negative,Sarcasm,negative,Electronics,15,14,medium,2,1,0,en,negative,positive,0.3612,0.172,0.828,0.0
9,listen my shipment went to an accordion oh well wow,listen my shipment went to an accordion oh well,0,negative,Disappointment,negative,Automotive,10,9,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0
10,First off The guy went to a swamp Take it or leave it ??,first off the guy went to a swamp take it or leave it,0,negative,Frustration,negative,Clothing,14,13,medium,1,1,0,en,negative,negative,-0.0516,0.0,0.902,0.098
11,The tracking was left near the next town over Just putting it out there hmm,the tracking was left near the next town over just putting it out there,0,negative,Disappointment,negative,Home & Kitchen,15,14,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
12,Honestly The box was left near a puddle !!,honestly the box was left near a puddle,0,negative,Frustration,negative,Sports & Outdoors,9,8,medium,0,1,0,en,negative,positive,0.4588,0.333,0.667,0.0
13,bruh  the package got tossed into a puddle lol,the package got tossed into a puddle,0,negative,Sarcasm,negative,Electronics,9,7,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
14,Honestly  The delivery ended up in the neighbor's trash Just putting it out there,honestly the delivery ended up in the neighbor's trash just putting it out there,0,negative,Disappointment,negative,Sports & Outdoors,14,14,medium,0,1,0,en,negative,positive,0.4588,0.188,0.812,0.0
15,The tracking looked like it visited another state End of story smh,the tracking looked like it visited another state end of story,0,negative,Sarcasm,negative,Automotive,12,11,medium,3,1,0,en,negative,positive,0.3612,0.2,0.8,0.0
16,The  carrier got tossed into another state lol,the carrier got tossed into another state,0,negative,Sarcasm,negative,Automotive,8,7,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
17,Well  The tracking looked like it visited a warzone End of story .,well the tracking looked like it visited a warzone end of story,0,negative,Frustration,negative,Clothing,13,12,medium,1,1,0,en,negative,positive,0.5574,0.338,0.662,0.0
18,Well  The tracking looked like it visited an accordion Just putting it out there hmm,well the tracking looked like it visited an accordion just putting it out there,0,negative,Sarcasm,negative,Sports & Outdoors,15,14,medium,4,1,0,en,negative,positive,0.5574,0.277,0.723,0.0
19,so the tracking spen ta week in a puddle tbh,so the tracking spen ta week in a puddle,0,negative,Sarcasm,negative,Clothing,10,9,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
20,The delivery arrived looking like a swamp wow,the delivery arrived looking like a swamp,0,negative,Sarcasm,negative,Home & Kitchen,8,7,short,1,1,0,en,negative,positive,0.3612,0.333,0.667,0.0
21,Honestly The delivery spent a week in an accordion,honestly the delivery spent a week in an accordion,0,negative,Frustration,negative,Home & Kitchen,9,9,medium,0,1,0,en,negative,positive,0.4588,0.3,0.7,0.0
22,Look The carrier was left near the next town over,look the carrier was left near the next town over,0,negative,Sarcasm,negative,Automotive,10,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
23,Bruh The package went to the next town over Fascinating tbh,the package went to the next town over,0,negative,Frustration,negative,Automotive,11,8,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
24,If im being real The box ended up in an accordion Make of that what you will,if im being real the box ended up in an accordion make of that what you will,0,negative,Sarcasm,negative,Automotive,17,17,long,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
25,the delivery arrived looking like a warzone take it or leave it tbh,the delivery arrived looking like a warzone take it or leave it,0,negative,Frustration,negative,Electronics,13,12,medium,0,1,0,en,negative,positive,0.3182,0.197,0.709,0.094
26,look the guy was left near an accordion end of story tbh,look the guy was left near an accordion end of story,0,negative,Frustration,negative,Sports & Outdoors,12,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
27,Wow The delivery got tossed into a swamp End of story tbh,the delivery got tossed into a swamp end of story,0,negative,Disappointment,negative,Home & Kitchen,12,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
29,Ok so The box got tossed into an accordion Make of that what you will ??,ok so the box got tossed into an accordion make of that what you will,0,negative,Frustration,negative,Automotive,16,15,long,0,1,0,en,negative,positive,0.296,0.136,0.864,0.0
30,Right so My shipment spent a week in another state Cheers smh,right so my shipment spent a week in another state,0,negative,Disappointment,negative,Electronics,12,10,medium,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
31,the guy ended up in the neighbor's trash cheers lol,the guy ended up in the neighbor's trash,0,negative,Disappointment,negative,Clothing,10,8,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
32,Bruh My shipment went to the neighbor's trash Whatever lol,my shipment went to the neighbor's trash,0,negative,Sarcasm,negative,Electronics,10,7,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
33,The delivery spent a week in a puddle ok,the delivery spent a week in a puddle ok,0,negative,Frustration,negative,Sports & Outdoors,9,9,medium,1,1,0,en,negative,positive,0.296,0.268,0.732,0.0
34,I guess My shipment looked like it visited a puddle !!,i guess my shipment looked like it visited a puddle,0,negative,Sarcasm,negative,Automotive,11,10,medium,2,1,0,en,negative,positive,0.3612,0.263,0.737,0.0
36,Listen The box got tossed into another state Just putting it out there lol,listen the box got tossed into another state just putting it out there,0,negative,Frustration,negative,Clothing,14,13,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
37,If im being real My shipment went to another state Whatever hmm,if im being real my shipment went to another state,0,negative,Sarcasm,negative,Automotive,12,10,medium,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
38,listen the guy arrived looking like the next town over !!,listen the guy arrived looking like the next town over,0,negative,Frustration,negative,Electronics,11,10,medium,0,1,0,en,negative,positive,0.3612,0.217,0.783,0.0
41,First off The tracking went to a warzone Take it or leave it tbh,first off the tracking went to a warzone take it or leave it,0,negative,Sarcasm,negative,Sports & Outdoors,14,13,medium,2,1,0,en,negative,negative,-0.0516,0.0,0.902,0.098
43,Look The carrier got otssed into the next town over Yup ??,look the carrier got otssed into the next town over,0,negative,Sarcasm,negative,Clothing,12,10,medium,8,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
44,right so the box arrived looking like a warzone yeah,right so the box arrived looking like a warzone,0,negative,Disappointment,negative,Clothing,10,9,medium,0,1,0,en,negative,positive,0.3612,0.263,0.737,0.0
45,First off The delivery got tossed into a puddle Yup tbh,first off the delivery got tossed into a puddle,0,negative,Frustration,negative,Electronics,11,9,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
46,Right so The tracking ended up in the next town over Whatever .,right so the tracking ended up in the next town over,0,negative,Sarcasm,negative,Sports & Outdoors,13,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
47,the  box arrived looking like an accordion take it or leave it yeah,the box arrived looking like an accordion take it or leave it,0,negative,Disappointment,negative,Sports & Outdoors,13,12,medium,1,1,0,en,negative,positive,0.3182,0.182,0.73,0.088
48,The  tracking spent a week in the neighbor'st rash Cheers,the tracking spent a week in the neighbor'st rash,0,negative,Disappointment,negative,Clothing,10,9,medium,2,1,0,en,negative,negative,-0.4019,0.0,0.722,0.278
50,okay the tracking looked like it visited an accordion end of story,okay the tracking looked like it visited an accordion end of story,0,negative,Disappointment,negative,Clothing,12,12,medium,5,1,0,en,negative,positive,0.5267,0.306,0.694,0.0
51,Look My shipment ended up in another state End of story,look my shipment ended up in another state end of story,0,negative,Disappointment,negative,Automotive,11,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
52,the delivery went ot an accordion,the delivery went ot an accordion,0,negative,Frustration,negative,Home & Kitchen,6,6,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
53,The tracking was left near a warzone Anyway !!,the tracking was left near a warzone,0,negative,Disappointment,negative,Sports & Outdoors,9,7,short,7,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
54,Ok so The guy ended up in the next town over Just putting it out there hmm,ok so the guy ended up in the next town over just putting it out there,0,negative,Disappointment,negative,Home & Kitchen,17,16,long,1,1,0,en,negative,positive,0.296,0.128,0.872,0.0
55,The  tracking was left near a puddle .,the tracking was left near a puddle,0,negative,Disappointment,negative,Sports & Outdoors,8,7,short,6,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
57,Ok so The delivery spent a week in a swamp yeah,ok so the delivery spent a week in a swamp,0,negative,Disappointment,negative,Automotive,11,10,medium,5,1,0,en,negative,positive,0.296,0.239,0.761,0.0
