loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9807,7.764947414398193,1.8194945848375454e-05,0.18050541516245489,50,,,,,,,,,,,,,
0.6964,8.446139335632324,1.6389891696750904e-05,0.36101083032490977,100,,,,,,,,,,,,,
0.5843,46.00693130493164,1.4584837545126355e-05,0.5415162454873647,150,,,,,,,,,,,,,
0.5891,32.92902755737305,1.2779783393501806e-05,0.7220216606498195,200,,,,,,,,,,,,,
0.566,77.91897583007812,1.0974729241877257e-05,0.9025270758122743,250,,,,,,,,,,,,,
,,,1.0,277,0.5772524476051331,0.7815884476534296,0.7905871000375386,0.7815884476534296,0.7675838099387957,2.1055,263.123,16.623,,,,,
0.4368,18.549617767333984,9.169675090252709e-06,1.0830324909747293,300,,,,,,,,,,,,,
0.3737,9.5957612991333,7.36462093862816e-06,1.263537906137184,350,,,,,,,,,,,,,
0.4233,13.39542007446289,5.559566787003611e-06,1.444043321299639,400,,,,,,,,,,,,,
0.4198,19.58324432373047,3.7545126353790616e-06,1.6245487364620939,450,,,,,,,,,,,,,
0.3453,3.501415252685547,1.949458483754513e-06,1.8050541516245486,500,,,,,,,,,,,,,
0.3443,13.797080039978027,1.444043321299639e-07,1.9855595667870036,550,,,,,,,,,,,,,
,,,2.0,554,0.5381322503089905,0.796028880866426,0.7949622813008714,0.796028880866426,0.7914526984718339,2.1361,259.356,16.385,,,,,
,,,2.0,554,,,,,,,,,73.5008,60.217,7.537,291134996716032.0,0.5229908834725941
,,,2.0,554,0.5381322503089905,0.796028880866426,0.7949622813008714,0.796028880866426,0.7914526984718339,2.1513,257.523,16.27,,,,,
