loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_weighted,eval_recall_weighted,eval_f1_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.8416,7.353235721588135,1.8951781970649896e-05,0.10482180293501048,50,,,,,,,,,,,,,
0.54,2.75327467918396,1.790356394129979e-05,0.20964360587002095,100,,,,,,,,,,,,,
0.4563,2.9636056423187256,1.685534591194969e-05,0.31446540880503143,150,,,,,,,,,,,,,
0.3969,17.966716766357422,1.5807127882599583e-05,0.4192872117400419,200,,,,,,,,,,,,,
0.3399,1.471081256866455,1.4758909853249476e-05,0.5241090146750524,250,,,,,,,,,,,,,
0.3884,4.617707252502441,1.371069182389937e-05,0.6289308176100629,300,,,,,,,,,,,,,
0.3861,2.1938931941986084,1.2662473794549269e-05,0.7337526205450734,350,,,,,,,,,,,,,
0.3275,12.870279312133789,1.1614255765199163e-05,0.8385744234800838,400,,,,,,,,,,,,,
0.3037,7.46566104888916,1.0566037735849058e-05,0.9433962264150944,450,,,,,,,,,,,,,
,,,1.0,477,0.28500109910964966,0.8805031446540881,0.8778606732926495,0.8805031446540881,0.878784057867042,1.9024,501.477,31.539,,,,,
0.3199,6.258467674255371,9.517819706498952e-06,1.0482180293501049,500,,,,,,,,,,,,,
0.2408,11.913930892944336,8.469601677148847e-06,1.1530398322851152,550,,,,,,,,,,,,,
0.2461,3.5076541900634766,7.421383647798742e-06,1.2578616352201257,600,,,,,,,,,,,,,
0.2477,3.3105928897857666,6.373165618448638e-06,1.3626834381551363,650,,,,,,,,,,,,,
0.2378,8.407565116882324,5.324947589098532e-06,1.4675052410901468,700,,,,,,,,,,,,,
0.2532,6.528398513793945,4.276729559748428e-06,1.5723270440251573,750,,,,,,,,,,,,,
0.2157,21.565364837646484,3.2285115303983234e-06,1.6771488469601676,800,,,,,,,,,,,,,
0.2464,6.778604507446289,2.1802935010482183e-06,1.7819706498951782,850,,,,,,,,,,,,,
0.2143,9.478933334350586,1.1320754716981133e-06,1.8867924528301887,900,,,,,,,,,,,,,
0.1903,9.052031517028809,8.385744234800839e-08,1.991614255765199,950,,,,,,,,,,,,,
,,,2.0,954,0.2986382842063904,0.8878406708595388,0.8870445056544511,0.8878406708595388,0.8874166131402215,1.8889,505.065,31.765,,,,,
,,,2.0,954,,,,,,,,,63.2868,120.467,15.074,252487364511744.0,0.3364709308312374
,,,2.0,954,0.2986382842063904,0.8878406708595388,0.8870445056544511,0.8878406708595388,0.8874166131402215,1.8787,507.792,31.937,,,,,
